This textfile must keep the line/row format.
Although the data in the table can be changed, but
the number of character for each row be the same.

2x16 characters display.
x-below will represent the data from table below.

 P O W E R :   x x x x x x d B m
 x x x x x x W   x x x x x x V

"$" character will be equal to space.
AD  	Sign	PdB	W		V	
3997	+	27,58	572,8	m	5,352	$
3996	+	27,56	570,2	m	5,339	$
3995	+	27,53	566,2	m	5,321	$
3994	+	27,51	563,6	m	5,308	$
3993	+	27,49	561,0	m	5,296	$
3992	+	27,46	557,2	m	5,278	$
3991	+	27,44	554,6	m	5,266	$
3990	+	27,41	550,8	m	5,248	$
3989	+	27,39	548,3	m	5,236	$
3988	+	27,36	544,5	m	5,218	$
3987	+	27,34	542,0	m	5,206	$
3986	+	27,31	538,3	m	5,188	$
3985	+	27,29	535,8	m	5,176	$
3984	+	27,27	533,3	m	5,164	$
3983	+	27,24	529,7	m	5,146	$
3982	+	27,22	527,2	m	5,134	$
3981	+	27,19	523,6	m	5,117	$
3980	+	27,17	521,2	m	5,105	$
3979	+	27,14	517,6	m	5,087	$
3978	+	27,12	515,2	m	5,075	$
3977	+	27,09	511,7	m	5,058	$
3976	+	27,07	509,3	m	5,046	$
3975	+	27,05	507,0	m	5,035	$
3974	+	27,02	503,5	m	5,017	$
3973	+	27,00	501,2	m	5,006	$
3972	+	26,97	497,7	m	4,988	$
3971	+	26,95	495,5	m	4,977	$
3970	+	26,92	492,0	m	4,960	$
3969	+	26,90	489,8	m	4,949	$
3968	+	26,88	487,5	m	4,937	$
3967	+	26,85	484,2	m	4,920	$
3966	+	26,83	481,9	m	4,909	$
3965	+	26,80	478,6	m	4,892	$
3964	+	26,78	476,4	m	4,881	$
3963	+	26,75	473,2	m	4,864	$
3962	+	26,73	471,0	m	4,853	$
3961	+	26,70	467,7	m	4,836	$
3960	+	26,68	465,6	m	4,825	$
3959	+	26,66	463,4	m	4,814	$
3958	+	26,63	460,3	m	4,797	$
3957	+	26,61	458,1	m	4,786	$
3956	+	26,58	455,0	m	4,770	$
3955	+	26,56	452,9	m	4,759	$
3954	+	26,53	449,8	m	4,742	$
3953	+	26,51	447,7	m	4,731	$
3952	+	26,48	444,6	m	4,715	$
3951	+	26,46	442,6	m	4,704	$
3950	+	26,44	440,6	m	4,694	$
3949	+	26,41	437,5	m	4,677	$
3948	+	26,39	435,5	m	4,666	$
3947	+	26,36	432,5	m	4,650	$
3946	+	26,34	430,5	m	4,640	$
3945	+	26,31	427,6	m	4,624	$
3944	+	26,29	425,6	m	4,613	$
3943	+	26,26	422,7	m	4,597	$
3942	+	26,24	420,7	m	4,586	$
3941	+	26,22	418,8	m	4,576	$
3940	+	26,19	415,9	m	4,560	$
3939	+	26,17	414,0	m	4,550	$
3938	+	26,14	411,1	m	4,534	$
3937	+	26,12	409,3	m	4,524	$
3936	+	26,09	406,4	m	4,508	$
3935	+	26,07	404,6	m	4,498	$
3934	+	26,04	401,8	m	4,482	$
3933	+	26,02	399,9	m	4,472	$
3932	+	26,00	398,1	m	4,462	$
3931	+	25,97	395,4	m	4,446	$
3930	+	25,95	393,6	m	4,436	$
3929	+	25,92	390,8	m	4,420	$
3928	+	25,90	389,0	m	4,410	$
3927	+	25,87	386,4	m	4,395	$
3926	+	25,85	384,6	m	4,385	$
3925	+	25,83	382,8	m	4,375	$
3924	+	25,80	380,2	m	4,360	$
3923	+	25,78	378,4	m	4,350	$
3922	+	25,75	375,8	m	4,335	$
3921	+	25,73	374,1	m	4,325	$
3920	+	25,70	371,5	m	4,310	$
3919	+	25,68	369,8	m	4,300	$
3918	+	25,65	367,3	m	4,285	$
3917	+	25,63	365,6	m	4,276	$
3916	+	25,61	363,9	m	4,266	$
3915	+	25,58	361,4	m	4,251	$
3914	+	25,56	359,7	m	4,241	$
3913	+	25,53	357,3	m	4,227	$
3912	+	25,51	355,6	m	4,217	$
3911	+	25,48	353,2	m	4,202	$
3910	+	25,46	351,6	m	4,193	$
3909	+	25,43	349,1	m	4,178	$
3908	+	25,41	347,5	m	4,168	$
3907	+	25,39	345,9	m	4,159	$
3906	+	25,36	343,6	m	4,145	$
3905	+	25,34	342,0	m	4,135	$
3904	+	25,31	339,6	m	4,121	$
3903	+	25,29	338,1	m	4,112	$
3902	+	25,26	335,7	m	4,097	$
3901	+	25,24	334,2	m	4,088	$
3900	+	25,21	331,9	m	4,074	$
3899	+	25,19	330,4	m	4,064	$
3898	+	25,17	328,9	m	4,055	$
3897	+	25,14	326,6	m	4,041	$
3896	+	25,12	325,1	m	4,032	$
3895	+	25,09	322,8	m	4,017	$
3894	+	25,07	321,4	m	4,009	$
3893	+	25,04	319,2	m	3,995	$
3892	+	25,02	317,7	m	3,986	$
3891	+	25,00	316,2	m	3,976	$
3890	+	24,97	314,1	m	3,963	$
3889	+	24,95	312,6	m	3,953	$
3888	+	24,92	310,5	m	3,940	$
3887	+	24,90	309,0	m	3,931	$
3886	+	24,87	306,9	m	3,917	$
3885	+	24,85	305,5	m	3,908	$
3884	+	24,82	303,4	m	3,895	$
3883	+	24,80	302,0	m	3,886	$
3882	+	24,78	300,6	m	3,877	$
3881	+	24,75	298,5	m	3,863	$
3880	+	24,73	297,2	m	3,855	$
3879	+	24,70	295,1	m	3,841	$
3878	+	24,68	293,8	m	3,833	$
3877	+	24,65	291,7	m	3,819	$
3876	+	24,63	290,4	m	3,811	$
3875	+	24,60	288,4	m	3,797	$
3874	+	24,58	287,1	m	3,789	$
3873	+	24,56	285,8	m	3,780	$
3872	+	24,53	283,8	m	3,767	$
3871	+	24,51	282,5	m	3,758	$
3870	+	24,48	280,5	m	3,745	$
3869	+	24,46	279,3	m	3,737	$
3868	+	24,43	277,3	m	3,724	$
3867	+	24,41	276,1	m	3,716	$
3866	+	24,38	274,2	m	3,703	$
3865	+	24,36	272,9	m	3,694	$
3864	+	24,34	271,6	m	3,685	$
3863	+	24,31	269,8	m	3,673	$
3862	+	24,29	268,5	m	3,664	$
3861	+	24,26	266,7	m	3,652	$
3860	+	24,24	265,5	m	3,643	$
3859	+	24,21	263,6	m	3,630	$
3858	+	24,19	262,4	m	3,622	$
3857	+	24,17	261,2	m	3,614	$
3856	+	24,14	259,4	m	3,601	$
3855	+	24,12	258,2	m	3,593	$
3854	+	24,09	256,4	m	3,581	$
3853	+	24,07	255,3	m	3,573	$
3852	+	24,04	253,5	m	3,560	$
3851	+	24,02	252,3	m	3,552	$
3850	+	23,99	250,6	m	3,540	$
3849	+	23,97	249,5	m	3,532	$
3848	+	23,95	248,3	m	3,523	$
3847	+	23,92	246,6	m	3,511	$
3846	+	23,90	245,5	m	3,504	$
3845	+	23,87	243,8	m	3,491	$
3844	+	23,85	242,7	m	3,484	$
3843	+	23,82	241,0	m	3,471	$
3842	+	23,80	239,9	m	3,463	$
3841	+	23,77	238,2	m	3,451	$
3840	+	23,75	237,1	m	3,443	$
3839	+	23,73	236,0	m	3,435	$
3838	+	23,70	234,4	m	3,423	$
3837	+	23,68	233,3	m	3,415	$
3836	+	23,65	231,7	m	3,404	$
3835	+	23,63	230,7	m	3,396	$
3834	+	23,60	229,1	m	3,385	$
3833	+	23,58	228,0	m	3,376	$
3832	+	23,55	226,5	m	3,365	$
3831	+	23,53	225,4	m	3,357	$
3830	+	23,51	224,4	m	3,350	$
3829	+	23,48	222,8	m	3,338	$
3828	+	23,46	221,8	m	3,330	$
3827	+	23,43	220,3	m	3,319	$
3826	+	23,41	219,3	m	3,311	$
3825	+	23,38	217,8	m	3,300	$
3824	+	23,36	216,8	m	3,292	$
3823	+	23,33	215,3	m	3,281	$
3822	+	23,31	214,3	m	3,273	$
3821	+	23,29	213,3	m	3,266	$
3820	+	23,26	211,8	m	3,254	$
3819	+	23,24	210,9	m	3,247	$
3818	+	23,21	209,4	m	3,236	$
3817	+	23,19	208,4	m	3,228	$
3816	+	23,16	207,0	m	3,217	$
3815	+	23,14	206,1	m	3,210	$
3814	+	23,12	205,1	m	3,202	$
3813	+	23,09	203,7	m	3,191	$
3812	+	23,07	202,8	m	3,184	$
3811	+	23,04	201,4	m	3,173	$
3810	+	23,02	200,4	m	3,165	$
3809	+	22,99	199,1	m	3,155	$
3808	+	22,97	198,2	m	3,148	$
3807	+	22,94	196,8	m	3,137	$
3806	+	22,92	195,9	m	3,130	$
3805	+	22,90	195,0	m	3,122	$
3804	+	22,87	193,6	m	3,111	$
3803	+	22,85	192,8	m	3,105	$
3802	+	22,82	191,4	m	3,094	$
3801	+	22,80	190,5	m	3,086	$
3800	+	22,77	189,2	m	3,076	$
3799	+	22,75	188,4	m	3,069	$
3798	+	22,72	187,1	m	3,059	$
3797	+	22,70	186,2	m	3,051	$
3796	+	22,68	185,4	m	3,045	$
3795	+	22,65	184,1	m	3,034	$
3794	+	22,63	183,2	m	3,027	$
3793	+	22,60	182,0	m	3,017	$
3792	+	22,58	181,1	m	3,009	$
3791	+	22,55	179,9	m	2,999	$
3790	+	22,53	179,1	m	2,992	$
3789	+	22,50	177,8	m	2,982	$
3788	+	22,48	177,0	m	2,975	$
3787	+	22,46	176,2	m	2,968	$
3786	+	22,43	175,0	m	2,958	$
3785	+	22,41	174,2	m	2,951	$
3784	+	22,38	173,0	m	2,941	$
3783	+	22,36	172,2	m	2,934	$
3782	+	22,33	171,0	m	2,924	$
3781	+	22,31	170,2	m	2,917	$
3780	+	22,29	169,4	m	2,910	$
3779	+	22,26	168,3	m	2,901	$
3778	+	22,24	167,5	m	2,894	$
3777	+	22,21	166,3	m	2,884	$
3776	+	22,19	165,6	m	2,877	$
3775	+	22,16	164,4	m	2,867	$
3774	+	22,14	163,7	m	2,861	$
3773	+	22,11	162,6	m	2,851	$
3772	+	22,09	161,8	m	2,844	$
3771	+	22,07	161,1	m	2,838	$
3770	+	22,04	160,0	m	2,828	$
3769	+	22,02	159,2	m	2,821	$
3768	+	21,99	158,1	m	2,812	$
3767	+	21,97	157,4	m	2,805	$
3766	+	21,94	156,3	m	2,796	$
3765	+	21,92	155,6	m	2,789	$
3764	+	21,89	154,5	m	2,779	$
3763	+	21,87	153,8	m	2,773	$
3762	+	21,85	153,1	m	2,767	$
3761	+	21,82	152,1	m	2,758	$
3760	+	21,80	151,4	m	2,751	$
3759	+	21,77	150,3	m	2,741	$
3758	+	21,75	149,6	m	2,735	$
3757	+	21,72	148,6	m	2,726	$
3756	+	21,70	147,9	m	2,719	$
3755	+	21,67	146,9	m	2,710	$
3754	+	21,65	146,2	m	2,704	$
3753	+	21,63	145,5	m	2,697	$
3752	+	21,60	144,5	m	2,688	$
3751	+	21,58	143,9	m	2,682	$
3750	+	21,55	142,9	m	2,673	$
3749	+	21,53	142,2	m	2,666	$
3748	+	21,50	141,3	m	2,658	$
3747	+	21,48	140,6	m	2,651	$
3746	+	21,46	140,0	m	2,646	$
3745	+	21,43	139,0	m	2,636	$
3744	+	21,41	138,4	m	2,631	$
3743	+	21,38	137,4	m	2,621	$
3742	+	21,36	136,8	m	2,615	$
3741	+	21,33	135,8	m	2,606	$
3740	+	21,31	135,2	m	2,600	$
3739	+	21,28	134,3	m	2,591	$
3738	+	21,26	133,7	m	2,586	$
3737	+	21,24	133,0	m	2,579	$
3736	+	21,21	132,1	m	2,570	$
3735	+	21,19	131,5	m	2,564	$
3734	+	21,16	130,6	m	2,555	$
3733	+	21,14	130,0	m	2,550	$
3732	+	21,11	129,1	m	2,541	$
3731	+	21,09	128,5	m	2,535	$
3730	+	21,06	127,6	m	2,526	$
3729	+	21,04	127,1	m	2,521	$
3728	+	21,02	126,5	m	2,515	$
3727	+	20,99	125,6	m	2,506	$
3726	+	20,97	125,0	m	2,500	$
3725	+	20,94	124,2	m	2,492	$
3724	+	20,92	123,6	m	2,486	$
3723	+	20,89	122,7	m	2,477	$
3722	+	20,87	122,2	m	2,472	$
3721	+	20,84	121,3	m	2,463	$
3720	+	20,82	120,8	m	2,458	$
3719	+	20,80	120,2	m	2,452	$
3718	+	20,77	119,4	m	2,443	$
3717	+	20,75	118,9	m	2,438	$
3716	+	20,72	118,0	m	2,429	$
3715	+	20,70	117,5	m	2,424	$
3714	+	20,67	116,7	m	2,416	$
3713	+	20,65	116,1	m	2,409	$
3712	+	20,63	115,6	m	2,404	$
3711	+	20,60	114,8	m	2,396	$
3710	+	20,58	114,3	m	2,391	$
3709	+	20,55	113,5	m	2,382	$
3708	+	20,53	113,0	m	2,377	$
3707	+	20,50	112,2	m	2,369	$
3706	+	20,48	111,7	m	2,363	$
3705	+	20,45	110,9	m	2,355	$
3704	+	20,43	110,4	m	2,349	$
3703	+	20,41	109,9	m	2,344	$
3702	+	20,38	109,1	m	2,336	$
3701	+	20,36	108,6	m	2,330	$
3700	+	20,33	107,9	m	2,323	$
3699	+	20,31	107,4	m	2,317	$
3698	+	20,28	106,7	m	2,310	$
3697	+	20,26	106,2	m	2,304	$
3696	+	20,23	105,4	m	2,296	$
3695	+	20,21	105,0	m	2,291	$
3694	+	20,19	104,5	m	2,286	$
3693	+	20,16	103,8	m	2,278	$
3692	+	20,14	103,3	m	2,273	$
3691	+	20,11	102,6	m	2,265	$
3690	+	20,09	102,1	m	2,259	$
3689	+	20,06	101,4	m	2,252	$
3688	+	20,04	100,9	m	2,246	$
3687	+	20,01	100,2	m	2,238	$
3686	+	19,99	99,77	m	2,233	$
3685	+	19,97	99,31	m	2,228	$
3684	+	19,94	98,63	m	2,221	$
3683	+	19,92	98,17	m	2,216	$
3682	+	19,89	97,50	m	2,208	$
3681	+	19,87	97,05	m	2,203	$
3680	+	19,84	96,38	m	2,195	$
3679	+	19,82	95,94	m	2,190	$
3678	+	19,79	95,28	m	2,183	$
3677	+	19,77	94,84	m	2,178	$
3676	+	19,75	94,41	m	2,173	$
3675	+	19,72	93,76	m	2,165	$
3674	+	19,70	93,33	m	2,160	$
3673	+	19,67	92,68	m	2,153	$
3672	+	19,65	92,26	m	2,148	$
3671	+	19,62	91,62	m	2,140	$
3670	+	19,60	91,20	m	2,135	$
3669	+	19,58	90,78	m	2,130	$
3668	+	19,55	90,16	m	2,123	$
3667	+	19,53	89,74	m	2,118	$
3666	+	19,50	89,13	m	2,111	$
3665	+	19,48	88,72	m	2,106	$
3664	+	19,45	88,10	m	2,099	$
3663	+	19,43	87,70	m	2,094	$
3662	+	19,40	87,10	m	2,087	$
3661	+	19,38	86,70	m	2,082	$
3660	+	19,36	86,30	m	2,077	$
3659	+	19,33	85,70	m	2,070	$
3658	+	19,31	85,31	m	2,065	$
3657	+	19,28	84,72	m	2,058	$
3656	+	19,26	84,33	m	2,053	$
3655	+	19,23	83,75	m	2,046	$
3654	+	19,21	83,37	m	2,042	$
3653	+	19,18	82,79	m	2,035	$
3652	+	19,16	82,41	m	2,030	$
3651	+	19,14	82,04	m	2,025	$
3650	+	19,11	81,47	m	2,018	$
3649	+	19,09	81,10	m	2,014	$
3648	+	19,06	80,54	m	2,007	$
3647	+	19,04	80,17	m	2,002	$
3646	+	19,01	79,62	m	1,995	$
3645	+	18,99	79,25	m	1,991	$
3644	+	18,96	78,70	m	1,984	$
3643	+	18,94	78,34	m	1,979	$
3642	+	18,92	77,98	m	1,975	$
3641	+	18,89	77,45	m	1,968	$
3640	+	18,87	77,09	m	1,963	$
3639	+	18,84	76,56	m	1,957	$
3638	+	18,82	76,21	m	1,952	$
3637	+	18,79	75,68	m	1,945	$
3636	+	18,77	75,34	m	1,941	$
3635	+	18,75	74,99	m	1,936	$
3634	+	18,72	74,47	m	1,930	$
3633	+	18,70	74,13	m	1,925	$
3632	+	18,67	73,62	m	1,919	$
3631	+	18,65	73,28	m	1,914	$
3630	+	18,62	72,78	m	1,908	$
3629	+	18,60	72,44	m	1,903	$
3628	+	18,57	71,94	m	1,897	$
3627	+	18,55	71,61	m	1,892	$
3626	+	18,53	71,29	m	1,888	$
3625	+	18,50	70,79	m	1,881	$
3624	+	18,48	70,47	m	1,877	$
3623	+	18,45	69,98	m	1,871	$
3622	+	18,43	69,66	m	1,866	$
3621	+	18,40	69,18	m	1,860	$
3620	+	18,38	68,87	m	1,856	$
3619	+	18,35	68,39	m	1,849	$
3618	+	18,33	68,08	m	1,845	$
3617	+	18,31	67,76	m	1,841	$
3616	+	18,28	67,30	m	1,834	$
3615	+	18,26	66,99	m	1,830	$
3614	+	18,23	66,53	m	1,824	$
3613	+	18,21	66,22	m	1,820	$
3612	+	18,18	65,77	m	1,813	$
3611	+	18,16	65,46	m	1,809	$
3610	+	18,13	65,01	m	1,803	$
3609	+	18,11	64,71	m	1,799	$
3608	+	18,09	64,42	m	1,795	$
3607	+	18,06	63,97	m	1,788	$
3606	+	18,04	63,68	m	1,784	$
3605	+	18,01	63,24	m	1,778	$
3604	+	17,99	62,95	m	1,774	$
3603	+	17,96	62,52	m	1,768	$
3602	+	17,94	62,23	m	1,764	$
3601	+	17,92	61,94	m	1,760	$
3600	+	17,89	61,52	m	1,754	$
3599	+	17,87	61,24	m	1,750	$
3598	+	17,84	60,81	m	1,744	$
3597	+	17,82	60,53	m	1,740	$
3596	+	17,79	60,12	m	1,734	$
3595	+	17,77	59,84	m	1,730	$
3594	+	17,74	59,43	m	1,724	$
3593	+	17,72	59,16	m	1,720	$
3592	+	17,70	58,88	m	1,716	$
3591	+	17,67	58,48	m	1,710	$
3590	+	17,65	58,21	m	1,706	$
3589	+	17,62	57,81	m	1,700	$
3588	+	17,60	57,54	m	1,696	$
3587	+	17,57	57,15	m	1,690	$
3586	+	17,55	56,89	m	1,687	$
3585	+	17,52	56,49	m	1,681	$
3584	+	17,50	56,23	m	1,677	$
3583	+	17,48	55,98	m	1,673	$
3582	+	17,45	55,59	m	1,667	$
3581	+	17,43	55,34	m	1,663	$
3580	+	17,40	54,95	m	1,658	$
3579	+	17,38	54,70	m	1,654	$
3578	+	17,35	54,33	m	1,648	$
3577	+	17,33	54,08	m	1,644	$
3576	+	17,30	53,70	m	1,639	$
3575	+	17,28	53,46	m	1,635	$
3574	+	17,26	53,21	m	1,631	$
3573	+	17,23	52,84	m	1,625	$
3572	+	17,21	52,60	m	1,622	$
3571	+	17,18	52,24	m	1,616	$
3570	+	17,16	52,00	m	1,612	$
3569	+	17,13	51,64	m	1,607	$
3568	+	17,11	51,40	m	1,603	$
3567	+	17,08	51,05	m	1,598	$
3566	+	17,06	50,82	m	1,594	$
3565	+	17,04	50,58	m	1,590	$
3564	+	17,01	50,23	m	1,585	$
3563	+	16,99	50,00	m	1,581	$
3562	+	16,96	49,66	m	1,576	$
3561	+	16,94	49,43	m	1,572	$
3560	+	16,91	49,09	m	1,567	$
3559	+	16,89	48,87	m	1,563	$
3558	+	16,87	48,64	m	1,559	$
3557	+	16,84	48,31	m	1,554	$
3556	+	16,82	48,08	m	1,550	$
3555	+	16,79	47,75	m	1,545	$
3554	+	16,77	47,53	m	1,542	$
3553	+	16,74	47,21	m	1,536	$
3552	+	16,72	46,99	m	1,533	$
3551	+	16,69	46,67	m	1,528	$
3550	+	16,67	46,45	m	1,524	$
3549	+	16,65	46,24	m	1,521	$
3548	+	16,62	45,92	m	1,515	$
3547	+	16,60	45,71	m	1,512	$
3546	+	16,57	45,39	m	1,506	$
3545	+	16,55	45,19	m	1,503	$
3544	+	16,52	44,87	m	1,498	$
3543	+	16,50	44,67	m	1,494	$
3542	+	16,47	44,36	m	1,489	$
3541	+	16,45	44,16	m	1,486	$
3540	+	16,43	43,95	m	1,482	$
3539	+	16,40	43,65	m	1,477	$
3538	+	16,38	43,45	m	1,474	$
3537	+	16,35	43,15	m	1,469	$
3536	+	16,33	42,95	m	1,465	$
3535	+	16,30	42,66	m	1,460	$
3534	+	16,28	42,46	m	1,457	$
3533	+	16,25	42,17	m	1,452	$
3532	+	16,23	41,98	m	1,449	$
3531	+	16,21	41,78	m	1,445	$
3530	+	16,18	41,50	m	1,440	$
3529	+	16,16	41,30	m	1,437	$
3528	+	16,13	41,02	m	1,432	$
3527	+	16,11	40,83	m	1,429	$
3526	+	16,08	40,55	m	1,424	$
3525	+	16,06	40,36	m	1,421	$
3524	+	16,04	40,18	m	1,417	$
3523	+	16,01	39,90	m	1,412	$
3522	+	15,99	39,72	m	1,409	$
3521	+	15,96	39,45	m	1,404	$
3520	+	15,94	39,26	m	1,401	$
3519	+	15,91	38,99	m	1,396	$
3518	+	15,89	38,82	m	1,393	$
3517	+	15,86	38,55	m	1,388	$
3516	+	15,84	38,37	m	1,385	$
3515	+	15,82	38,19	m	1,382	$
3514	+	15,79	37,93	m	1,377	$
3513	+	15,77	37,76	m	1,374	$
3512	+	15,74	37,50	m	1,369	$
3511	+	15,72	37,33	m	1,366	$
3510	+	15,69	37,07	m	1,361	$
3509	+	15,67	36,90	m	1,358	$
3508	+	15,64	36,64	m	1,354	$
3507	+	15,62	36,48	m	1,351	$
3506	+	15,60	36,31	m	1,347	$
3505	+	15,57	36,06	m	1,343	$
3504	+	15,55	35,89	m	1,340	$
3503	+	15,52	35,65	m	1,335	$
3502	+	15,50	35,48	m	1,332	$
3501	+	15,47	35,24	m	1,327	$
3500	+	15,45	35,08	m	1,324	$
3499	+	15,42	34,83	m	1,320	$
3498	+	15,40	34,67	m	1,317	$
3497	+	15,38	34,51	m	1,314	$
3496	+	15,35	34,28	m	1,309	$
3495	+	15,33	34,12	m	1,306	$
3494	+	15,30	33,88	m	1,302	$
3493	+	15,28	33,73	m	1,299	$
3492	+	15,25	33,50	m	1,294	$
3491	+	15,23	33,34	m	1,291	$
3490	+	15,21	33,19	m	1,288	$
3489	+	15,18	32,96	m	1,284	$
3488	+	15,16	32,81	m	1,281	$
3487	+	15,13	32,58	m	1,276	$
3486	+	15,11	32,43	m	1,273	$
3485	+	15,08	32,21	m	1,269	$
3484	+	15,06	32,06	m	1,266	$
3483	+	15,03	31,84	m	1,262	$
3482	+	15,01	31,70	m	1,259	$
3481	+	14,99	31,55	m	1,256	$
3480	+	14,96	31,33	m	1,252	$
3479	+	14,94	31,19	m	1,249	$
3478	+	14,91	30,97	m	1,244	$
3477	+	14,89	30,83	m	1,242	$
3476	+	14,86	30,62	m	1,237	$
3475	+	14,84	30,48	m	1,235	$
3474	+	14,81	30,27	m	1,230	$
3473	+	14,79	30,13	m	1,227	$
3472	+	14,77	29,99	m	1,225	$
3471	+	14,74	29,79	m	1,220	$
3470	+	14,72	29,65	m	1,218	$
3469	+	14,69	29,44	m	1,213	$
3468	+	14,67	29,31	m	1,211	$
3467	+	14,64	29,11	m	1,206	$
3466	+	14,62	28,97	m	1,204	$
3465	+	14,59	28,77	m	1,199	$
3464	+	14,57	28,64	m	1,197	$
3463	+	14,55	28,51	m	1,194	$
3462	+	14,52	28,31	m	1,190	$
3461	+	14,50	28,18	m	1,187	$
3460	+	14,47	27,99	m	1,183	$
3459	+	14,45	27,86	m	1,180	$
3458	+	14,42	27,67	m	1,176	$
3457	+	14,40	27,54	m	1,173	$
3456	+	14,38	27,42	m	1,171	$
3455	+	14,35	27,23	m	1,167	$
3454	+	14,33	27,10	m	1,164	$
3453	+	14,30	26,92	m	1,160	$
3452	+	14,28	26,79	m	1,157	$
3451	+	14,25	26,61	m	1,153	$
3450	+	14,23	26,49	m	1,151	$
3449	+	14,20	26,30	m	1,147	$
3448	+	14,18	26,18	m	1,144	$
3447	+	14,16	26,06	m	1,141	$
3446	+	14,13	25,88	m	1,138	$
3445	+	14,11	25,76	m	1,135	$
3444	+	14,08	25,59	m	1,131	$
3443	+	14,06	25,47	m	1,128	$
3442	+	14,03	25,29	m	1,124	$
