This textfile must keep the line/row format.
Although the data in the table can be changed, but
the number of character for each row be the same.

2x16 characters display.
x-below will represent the data from table below.

 P O W E R :   x x x x x x d B m
 x x x x x x W   x x x x x x V

"$" character will be equal to space.
AD  	Sign	PdB	W		V	
3989	+	$7,39	5,483	m	523,6	m
3988	+	$7,36	5,445	m	521,8	m
3987	+	$7,34	5,420	m	520,6	m
3986	+	$7,31	5,383	m	518,8	m
3985	+	$7,29	5,358	m	517,6	m
3984	+	$7,27	5,333	m	516,4	m
3983	+	$7,24	5,297	m	514,6	m
3982	+	$7,22	5,272	m	513,4	m
3981	+	$7,19	5,236	m	511,7	m
3980	+	$7,17	5,212	m	510,5	m
3979	+	$7,14	5,176	m	508,7	m
3978	+	$7,12	5,152	m	507,5	m
3977	+	$7,09	5,117	m	505,8	m
3976	+	$7,07	5,093	m	504,6	m
3975	+	$7,05	5,070	m	503,5	m
3974	+	$7,02	5,035	m	501,7	m
3973	+	$7,00	5,012	m	500,6	m
3972	+	$6,97	4,977	m	498,8	m
3971	+	$6,95	4,955	m	497,7	m
3970	+	$6,92	4,920	m	496,0	m
3969	+	$6,90	4,898	m	494,9	m
3968	+	$6,88	4,875	m	493,7	m
3967	+	$6,85	4,842	m	492,0	m
3966	+	$6,83	4,819	m	490,9	m
3965	+	$6,80	4,786	m	489,2	m
3964	+	$6,78	4,764	m	488,1	m
3963	+	$6,75	4,732	m	486,4	m
3962	+	$6,73	4,710	m	485,3	m
3961	+	$6,70	4,677	m	483,6	m
3960	+	$6,68	4,656	m	482,5	m
3959	+	$6,66	4,634	m	481,4	m
3958	+	$6,63	4,603	m	479,7	m
3957	+	$6,61	4,581	m	478,6	m
3956	+	$6,58	4,550	m	477,0	m
3955	+	$6,56	4,529	m	475,9	m
3954	+	$6,53	4,498	m	474,2	m
3953	+	$6,51	4,477	m	473,1	m
3952	+	$6,48	4,446	m	471,5	m
3951	+	$6,46	4,426	m	470,4	m
3950	+	$6,44	4,406	m	469,4	m
3949	+	$6,41	4,375	m	467,7	m
3948	+	$6,39	4,355	m	466,6	m
3947	+	$6,36	4,325	m	465,0	m
3946	+	$6,34	4,305	m	464,0	m
3945	+	$6,31	4,276	m	462,4	m
3944	+	$6,29	4,256	m	461,3	m
3943	+	$6,26	4,227	m	459,7	m
3942	+	$6,24	4,207	m	458,6	m
3941	+	$6,22	4,188	m	457,6	m
3940	+	$6,19	4,159	m	456,0	m
3939	+	$6,17	4,140	m	455,0	m
3938	+	$6,14	4,111	m	453,4	m
3937	+	$6,12	4,093	m	452,4	m
3936	+	$6,09	4,064	m	450,8	m
3935	+	$6,07	4,046	m	449,8	m
3934	+	$6,04	4,018	m	448,2	m
3933	+	$6,02	3,999	m	447,2	m
3932	+	$6,00	3,981	m	446,2	m
3931	+	$5,97	3,954	m	444,6	m
3930	+	$5,95	3,936	m	443,6	m
3929	+	$5,92	3,908	m	442,0	m
3928	+	$5,90	3,890	m	441,0	m
3927	+	$5,87	3,864	m	439,5	m
3926	+	$5,85	3,846	m	438,5	m
3925	+	$5,83	3,828	m	437,5	m
3924	+	$5,80	3,802	m	436,0	m
3923	+	$5,78	3,784	m	435,0	m
3922	+	$5,75	3,758	m	433,5	m
3921	+	$5,73	3,741	m	432,5	m
3920	+	$5,70	3,715	m	431,0	m
3919	+	$5,68	3,698	m	430,0	m
3918	+	$5,65	3,673	m	428,5	m
3917	+	$5,63	3,656	m	427,6	m
3916	+	$5,61	3,639	m	426,6	m
3915	+	$5,58	3,614	m	425,1	m
3914	+	$5,56	3,597	m	424,1	m
3913	+	$5,53	3,573	m	422,7	m
3912	+	$5,51	3,556	m	421,7	m
3911	+	$5,48	3,532	m	420,2	m
3910	+	$5,46	3,516	m	419,3	m
3909	+	$5,43	3,491	m	417,8	m
3908	+	$5,41	3,475	m	416,8	m
3907	+	$5,39	3,459	m	415,9	m
3906	+	$5,36	3,436	m	414,5	m
3905	+	$5,34	3,420	m	413,5	m
3904	+	$5,31	3,396	m	412,1	m
3903	+	$5,29	3,381	m	411,2	m
3902	+	$5,26	3,357	m	409,7	m
3901	+	$5,24	3,342	m	408,8	m
3900	+	$5,21	3,319	m	407,4	m
3899	+	$5,19	3,304	m	406,4	m
3898	+	$5,17	3,289	m	405,5	m
3897	+	$5,14	3,266	m	404,1	m
3896	+	$5,12	3,251	m	403,2	m
3895	+	$5,09	3,228	m	401,7	m
3894	+	$5,07	3,214	m	400,9	m
3893	+	$5,04	3,192	m	399,5	m
3892	+	$5,02	3,177	m	398,6	m
3891	+	$5,00	3,162	m	397,6	m
3890	+	$4,97	3,141	m	396,3	m
3889	+	$4,95	3,126	m	395,3	m
3888	+	$4,92	3,105	m	394,0	m
3887	+	$4,90	3,090	m	393,1	m
3886	+	$4,87	3,069	m	391,7	m
3885	+	$4,85	3,055	m	390,8	m
3884	+	$4,82	3,034	m	389,5	m
3883	+	$4,80	3,020	m	388,6	m
3882	+	$4,78	3,006	m	387,7	m
3881	+	$4,75	2,985	m	386,3	m
3880	+	$4,73	2,972	m	385,5	m
3879	+	$4,70	2,951	m	384,1	m
3878	+	$4,68	2,938	m	383,3	m
3877	+	$4,65	2,917	m	381,9	m
3876	+	$4,63	2,904	m	381,1	m
3875	+	$4,60	2,884	m	379,7	m
3874	+	$4,58	2,871	m	378,9	m
3873	+	$4,56	2,858	m	378,0	m
3872	+	$4,53	2,838	m	376,7	m
3871	+	$4,51	2,825	m	375,8	m
3870	+	$4,48	2,805	m	374,5	m
3869	+	$4,46	2,793	m	373,7	m
3868	+	$4,43	2,773	m	372,4	m
3867	+	$4,41	2,761	m	371,6	m
3866	+	$4,38	2,742	m	370,3	m
3865	+	$4,36	2,729	m	369,4	m
3864	+	$4,34	2,716	m	368,5	m
3863	+	$4,31	2,698	m	367,3	m
3862	+	$4,29	2,685	m	366,4	m
3861	+	$4,26	2,667	m	365,2	m
3860	+	$4,24	2,655	m	364,3	m
3859	+	$4,21	2,636	m	363,0	m
3858	+	$4,19	2,624	m	362,2	m
3857	+	$4,17	2,612	m	361,4	m
3856	+	$4,14	2,594	m	360,1	m
3855	+	$4,12	2,582	m	359,3	m
3854	+	$4,09	2,564	m	358,1	m
3853	+	$4,07	2,553	m	357,3	m
3852	+	$4,04	2,535	m	356,0	m
3851	+	$4,02	2,523	m	355,2	m
3850	+	$3,99	2,506	m	354,0	m
3849	+	$3,97	2,495	m	353,2	m
3848	+	$3,95	2,483	m	352,3	m
3847	+	$3,92	2,466	m	351,1	m
3846	+	$3,90	2,455	m	350,4	m
3845	+	$3,87	2,438	m	349,1	m
3844	+	$3,85	2,427	m	348,4	m
3843	+	$3,82	2,410	m	347,1	m
3842	+	$3,80	2,399	m	346,3	m
3841	+	$3,77	2,382	m	345,1	m
3840	+	$3,75	2,371	m	344,3	m
3839	+	$3,73	2,360	m	343,5	m
3838	+	$3,70	2,344	m	342,3	m
3837	+	$3,68	2,333	m	341,5	m
3836	+	$3,65	2,317	m	340,4	m
3835	+	$3,63	2,307	m	339,6	m
3834	+	$3,60	2,291	m	338,5	m
3833	+	$3,58	2,280	m	337,6	m
3832	+	$3,55	2,265	m	336,5	m
3831	+	$3,53	2,254	m	335,7	m
3830	+	$3,51	2,244	m	335,0	m
3829	+	$3,48	2,228	m	333,8	m
3828	+	$3,46	2,218	m	333,0	m
3827	+	$3,43	2,203	m	331,9	m
3826	+	$3,41	2,193	m	331,1	m
3825	+	$3,38	2,178	m	330,0	m
3824	+	$3,36	2,168	m	329,2	m
3823	+	$3,33	2,153	m	328,1	m
3822	+	$3,31	2,143	m	327,3	m
3821	+	$3,29	2,133	m	326,6	m
3820	+	$3,26	2,118	m	325,4	m
3819	+	$3,24	2,109	m	324,7	m
3818	+	$3,21	2,094	m	323,6	m
3817	+	$3,19	2,084	m	322,8	m
3816	+	$3,16	2,070	m	321,7	m
3815	+	$3,14	2,061	m	321,0	m
3814	+	$3,12	2,051	m	320,2	m
3813	+	$3,09	2,037	m	319,1	m
3812	+	$3,07	2,028	m	318,4	m
3811	+	$3,04	2,014	m	317,3	m
3810	+	$3,02	2,004	m	316,5	m
3809	+	$2,99	1,991	m	315,5	m
3808	+	$2,97	1,982	m	314,8	m
3807	+	$2,94	1,968	m	313,7	m
3806	+	$2,92	1,959	m	313,0	m
3805	+	$2,90	1,950	m	312,2	m
3804	+	$2,87	1,936	m	311,1	m
3803	+	$2,85	1,928	m	310,5	m
3802	+	$2,82	1,914	m	309,4	m
3801	+	$2,80	1,905	m	308,6	m
3800	+	$2,77	1,892	m	307,6	m
3799	+	$2,75	1,884	m	306,9	m
3798	+	$2,72	1,871	m	305,9	m
3797	+	$2,70	1,862	m	305,1	m
3796	+	$2,68	1,854	m	304,5	m
3795	+	$2,65	1,841	m	303,4	m
3794	+	$2,63	1,832	m	302,7	m
3793	+	$2,60	1,820	m	301,7	m
3792	+	$2,58	1,811	m	300,9	m
3791	+	$2,55	1,799	m	299,9	m
3790	+	$2,53	1,791	m	299,2	m
3789	+	$2,50	1,778	m	298,2	m
3788	+	$2,48	1,770	m	297,5	m
3787	+	$2,46	1,762	m	296,8	m
3786	+	$2,43	1,750	m	295,8	m
3785	+	$2,41	1,742	m	295,1	m
3784	+	$2,38	1,730	m	294,1	m
3783	+	$2,36	1,722	m	293,4	m
3782	+	$2,33	1,710	m	292,4	m
3781	+	$2,31	1,702	m	291,7	m
3780	+	$2,29	1,694	m	291,0	m
3779	+	$2,26	1,683	m	290,1	m
3778	+	$2,24	1,675	m	289,4	m
3777	+	$2,21	1,663	m	288,4	m
3776	+	$2,19	1,656	m	287,7	m
3775	+	$2,16	1,644	m	286,7	m
3774	+	$2,14	1,637	m	286,1	m
3773	+	$2,11	1,626	m	285,1	m
3772	+	$2,09	1,618	m	284,4	m
3771	+	$2,07	1,611	m	283,8	m
3770	+	$2,04	1,600	m	282,8	m
3769	+	$2,02	1,592	m	282,1	m
3768	+	$1,99	1,581	m	281,2	m
3767	+	$1,97	1,574	m	280,5	m
3766	+	$1,94	1,563	m	279,6	m
3765	+	$1,92	1,556	m	278,9	m
3764	+	$1,89	1,545	m	277,9	m
3763	+	$1,87	1,538	m	277,3	m
3762	+	$1,85	1,531	m	276,7	m
3761	+	$1,82	1,521	m	275,8	m
3760	+	$1,80	1,514	m	275,1	m
3759	+	$1,77	1,503	m	274,1	m
3758	+	$1,75	1,496	m	273,5	m
3757	+	$1,72	1,486	m	272,6	m
3756	+	$1,70	1,479	m	271,9	m
3755	+	$1,67	1,469	m	271,0	m
3754	+	$1,65	1,462	m	270,4	m
3753	+	$1,63	1,455	m	269,7	m
3752	+	$1,60	1,445	m	268,8	m
3751	+	$1,58	1,439	m	268,2	m
3750	+	$1,55	1,429	m	267,3	m
3749	+	$1,53	1,422	m	266,6	m
3748	+	$1,50	1,413	m	265,8	m
3747	+	$1,48	1,406	m	265,1	m
3746	+	$1,46	1,400	m	264,6	m
3745	+	$1,43	1,390	m	263,6	m
3744	+	$1,41	1,384	m	263,1	m
3743	+	$1,38	1,374	m	262,1	m
3742	+	$1,36	1,368	m	261,5	m
3741	+	$1,33	1,358	m	260,6	m
3740	+	$1,31	1,352	m	260,0	m
3739	+	$1,28	1,343	m	259,1	m
3738	+	$1,26	1,337	m	258,6	m
3737	+	$1,24	1,330	m	257,9	m
3736	+	$1,21	1,321	m	257,0	m
3735	+	$1,19	1,315	m	256,4	m
3734	+	$1,16	1,306	m	255,5	m
3733	+	$1,14	1,300	m	255,0	m
3732	+	$1,11	1,291	m	254,1	m
3731	+	$1,09	1,285	m	253,5	m
3730	+	$1,06	1,276	m	252,6	m
3729	+	$1,04	1,271	m	252,1	m
3728	+	$1,02	1,265	m	251,5	m
3727	+	$0,99	1,256	m	250,6	m
3726	+	$0,97	1,250	m	250,0	m
3725	+	$0,94	1,242	m	249,2	m
3724	+	$0,92	1,236	m	248,6	m
3723	+	$0,89	1,227	m	247,7	m
3722	+	$0,87	1,222	m	247,2	m
3721	+	$0,84	1,213	m	246,3	m
3720	+	$0,82	1,208	m	245,8	m
3719	+	$0,80	1,202	m	245,2	m
3718	+	$0,77	1,194	m	244,3	m
3717	+	$0,75	1,189	m	243,8	m
3716	+	$0,72	1,180	m	242,9	m
3715	+	$0,70	1,175	m	242,4	m
3714	+	$0,67	1,167	m	241,6	m
3713	+	$0,65	1,161	m	240,9	m
3712	+	$0,63	1,156	m	240,4	m
3711	+	$0,60	1,148	m	239,6	m
3710	+	$0,58	1,143	m	239,1	m
3709	+	$0,55	1,135	m	238,2	m
3708	+	$0,53	1,130	m	237,7	m
3707	+	$0,50	1,122	m	236,9	m
3706	+	$0,48	1,117	m	236,3	m
3705	+	$0,45	1,109	m	235,5	m
3704	+	$0,43	1,104	m	234,9	m
3703	+	$0,41	1,099	m	234,4	m
3702	+	$0,38	1,091	m	233,6	m
3701	+	$0,36	1,086	m	233,0	m
3700	+	$0,33	1,079	m	232,3	m
3699	+	$0,31	1,074	m	231,7	m
3698	+	$0,28	1,067	m	231,0	m
3697	+	$0,26	1,062	m	230,4	m
3696	+	$0,23	1,054	m	229,6	m
3695	+	$0,21	1,050	m	229,1	m
3694	+	$0,19	1,045	m	228,6	m
3693	+	$0,16	1,038	m	227,8	m
3692	+	$0,14	1,033	m	227,3	m
3691	+	$0,11	1,026	m	226,5	m
3690	+	$0,09	1,021	m	225,9	m
3689	+	$0,06	1,014	m	225,2	m
3688	+	$0,04	1,009	m	224,6	m
3687	+	$0,01	1,002	m	223,8	m
3686	-	$0,01	997,7	u	223,3	m
3685	-	$0,03	993,1	u	222,8	m
3684	-	$0,06	986,3	u	222,1	m
3683	-	$0,08	981,7	u	221,6	m
3682	-	$0,11	975,0	u	220,8	m
3681	-	$0,13	970,5	u	220,3	m
3680	-	$0,16	963,8	u	219,5	m
3679	-	$0,18	959,4	u	219,0	m
3678	-	$0,21	952,8	u	218,3	m
3677	-	$0,23	948,4	u	217,8	m
3676	-	$0,25	944,1	u	217,3	m
3675	-	$0,28	937,6	u	216,5	m
3674	-	$0,30	933,3	u	216,0	m
3673	-	$0,33	926,8	u	215,3	m
3672	-	$0,35	922,6	u	214,8	m
3671	-	$0,38	916,2	u	214,0	m
3670	-	$0,40	912,0	u	213,5	m
3669	-	$0,42	907,8	u	213,0	m
3668	-	$0,45	901,6	u	212,3	m
3667	-	$0,47	897,4	u	211,8	m
3666	-	$0,50	891,3	u	211,1	m
3665	-	$0,52	887,2	u	210,6	m
3664	-	$0,55	881,0	u	209,9	m
3663	-	$0,57	877,0	u	209,4	m
3662	-	$0,60	871,0	u	208,7	m
3661	-	$0,62	867,0	u	208,2	m
3660	-	$0,64	863,0	u	207,7	m
3659	-	$0,67	857,0	u	207,0	m
3658	-	$0,69	853,1	u	206,5	m
3657	-	$0,72	847,2	u	205,8	m
3656	-	$0,74	843,3	u	205,3	m
3655	-	$0,77	837,5	u	204,6	m
3654	-	$0,79	833,7	u	204,2	m
3653	-	$0,82	827,9	u	203,5	m
3652	-	$0,84	824,1	u	203,0	m
3651	-	$0,86	820,4	u	202,5	m
3650	-	$0,89	814,7	u	201,8	m
3649	-	$0,91	811,0	u	201,4	m
3648	-	$0,94	805,4	u	200,7	m
3647	-	$0,96	801,7	u	200,2	m
3646	-	$0,99	796,2	u	199,5	m
3645	-	$1,01	792,5	u	199,1	m
3644	-	$1,04	787,0	u	198,4	m
3643	-	$1,06	783,4	u	197,9	m
3642	-	$1,08	779,8	u	197,5	m
3641	-	$1,11	774,5	u	196,8	m
3640	-	$1,13	770,9	u	196,3	m
3639	-	$1,16	765,6	u	195,7	m
3638	-	$1,18	762,1	u	195,2	m
3637	-	$1,21	756,8	u	194,5	m
3636	-	$1,23	753,4	u	194,1	m
3635	-	$1,25	749,9	u	193,6	m
3634	-	$1,28	744,7	u	193,0	m
3633	-	$1,30	741,3	u	192,5	m
3632	-	$1,33	736,2	u	191,9	m
3631	-	$1,35	732,8	u	191,4	m
3630	-	$1,38	727,8	u	190,8	m
3629	-	$1,40	724,4	u	190,3	m
3628	-	$1,43	719,4	u	189,7	m
3627	-	$1,45	716,1	u	189,2	m
3626	-	$1,47	712,9	u	188,8	m
3625	-	$1,50	707,9	u	188,1	m
3624	-	$1,52	704,7	u	187,7	m
3623	-	$1,55	699,8	u	187,1	m
3622	-	$1,57	696,6	u	186,6	m
3621	-	$1,60	691,8	u	186,0	m
3620	-	$1,62	688,7	u	185,6	m
3619	-	$1,65	683,9	u	184,9	m
3618	-	$1,67	680,8	u	184,5	m
3617	-	$1,69	677,6	u	184,1	m
3616	-	$1,72	673,0	u	183,4	m
3615	-	$1,74	669,9	u	183,0	m
3614	-	$1,77	665,3	u	182,4	m
3613	-	$1,79	662,2	u	182,0	m
3612	-	$1,82	657,7	u	181,3	m
3611	-	$1,84	654,6	u	180,9	m
3610	-	$1,87	650,1	u	180,3	m
3609	-	$1,89	647,1	u	179,9	m
3608	-	$1,91	644,2	u	179,5	m
3607	-	$1,94	639,7	u	178,8	m
3606	-	$1,96	636,8	u	178,4	m
3605	-	$1,99	632,4	u	177,8	m
3604	-	$2,01	629,5	u	177,4	m
3603	-	$2,04	625,2	u	176,8	m
3602	-	$2,06	622,3	u	176,4	m
3601	-	$2,08	619,4	u	176,0	m
3600	-	$2,11	615,2	u	175,4	m
3599	-	$2,13	612,4	u	175,0	m
3598	-	$2,16	608,1	u	174,4	m
3597	-	$2,18	605,3	u	174,0	m
3596	-	$2,21	601,2	u	173,4	m
3595	-	$2,23	598,4	u	173,0	m
3594	-	$2,26	594,3	u	172,4	m
3593	-	$2,28	591,6	u	172,0	m
3592	-	$2,30	588,8	u	171,6	m
3591	-	$2,33	584,8	u	171,0	m
3590	-	$2,35	582,1	u	170,6	m
3589	-	$2,38	578,1	u	170,0	m
3588	-	$2,40	575,4	u	169,6	m
3587	-	$2,43	571,5	u	169,0	m
3586	-	$2,45	568,9	u	168,7	m
3585	-	$2,48	564,9	u	168,1	m
3584	-	$2,50	562,3	u	167,7	m
3583	-	$2,52	559,8	u	167,3	m
3582	-	$2,55	555,9	u	166,7	m
3581	-	$2,57	553,4	u	166,3	m
3580	-	$2,60	549,5	u	165,8	m
3579	-	$2,62	547,0	u	165,4	m
3578	-	$2,65	543,3	u	164,8	m
3577	-	$2,67	540,8	u	164,4	m
3576	-	$2,70	537,0	u	163,9	m
3575	-	$2,72	534,6	u	163,5	m
3574	-	$2,74	532,1	u	163,1	m
3573	-	$2,77	528,4	u	162,5	m
3572	-	$2,79	526,0	u	162,2	m
3571	-	$2,82	522,4	u	161,6	m
3570	-	$2,84	520,0	u	161,2	m
3569	-	$2,87	516,4	u	160,7	m
3568	-	$2,89	514,0	u	160,3	m
3567	-	$2,92	510,5	u	159,8	m
3566	-	$2,94	508,2	u	159,4	m
3565	-	$2,96	505,8	u	159,0	m
3564	-	$2,99	502,3	u	158,5	m
3563	-	$3,01	500,0	u	158,1	m
3562	-	$3,04	496,6	u	157,6	m
3561	-	$3,06	494,3	u	157,2	m
3560	-	$3,09	490,9	u	156,7	m
3559	-	$3,11	488,7	u	156,3	m
3558	-	$3,13	486,4	u	155,9	m
3557	-	$3,16	483,1	u	155,4	m
3556	-	$3,18	480,8	u	155,0	m
3555	-	$3,21	477,5	u	154,5	m
3554	-	$3,23	475,3	u	154,2	m
3553	-	$3,26	472,1	u	153,6	m
3552	-	$3,28	469,9	u	153,3	m
3551	-	$3,31	466,7	u	152,8	m
3550	-	$3,33	464,5	u	152,4	m
3549	-	$3,35	462,4	u	152,1	m
3548	-	$3,38	459,2	u	151,5	m
3547	-	$3,40	457,1	u	151,2	m
3546	-	$3,43	453,9	u	150,6	m
3545	-	$3,45	451,9	u	150,3	m
3544	-	$3,48	448,7	u	149,8	m
3543	-	$3,50	446,7	u	149,4	m
3542	-	$3,53	443,6	u	148,9	m
3541	-	$3,55	441,6	u	148,6	m
3540	-	$3,57	439,5	u	148,2	m
3539	-	$3,60	436,5	u	147,7	m
3538	-	$3,62	434,5	u	147,4	m
3537	-	$3,65	431,5	u	146,9	m
3536	-	$3,67	429,5	u	146,5	m
3535	-	$3,70	426,6	u	146,0	m
3534	-	$3,72	424,6	u	145,7	m
3533	-	$3,75	421,7	u	145,2	m
3532	-	$3,77	419,8	u	144,9	m
3531	-	$3,79	417,8	u	144,5	m
3530	-	$3,82	415,0	u	144,0	m
3529	-	$3,84	413,0	u	143,7	m
3528	-	$3,87	410,2	u	143,2	m
3527	-	$3,89	408,3	u	142,9	m
3526	-	$3,92	405,5	u	142,4	m
3525	-	$3,94	403,6	u	142,1	m
3524	-	$3,96	401,8	u	141,7	m
3523	-	$3,99	399,0	u	141,2	m
3522	-	$4,01	397,2	u	140,9	m
3521	-	$4,04	394,5	u	140,4	m
3520	-	$4,06	392,6	u	140,1	m
3519	-	$4,09	389,9	u	139,6	m
3518	-	$4,11	388,2	u	139,3	m
3517	-	$4,14	385,5	u	138,8	m
3516	-	$4,16	383,7	u	138,5	m
3515	-	$4,18	381,9	u	138,2	m
3514	-	$4,21	379,3	u	137,7	m
3513	-	$4,23	377,6	u	137,4	m
3512	-	$4,26	375,0	u	136,9	m
3511	-	$4,28	373,3	u	136,6	m
3510	-	$4,31	370,7	u	136,1	m
3509	-	$4,33	369,0	u	135,8	m
3508	-	$4,36	366,4	u	135,4	m
3507	-	$4,38	364,8	u	135,1	m
3506	-	$4,40	363,1	u	134,7	m
3505	-	$4,43	360,6	u	134,3	m
3504	-	$4,45	358,9	u	134,0	m
3503	-	$4,48	356,5	u	133,5	m
3502	-	$4,50	354,8	u	133,2	m
3501	-	$4,53	352,4	u	132,7	m
3500	-	$4,55	350,8	u	132,4	m
3499	-	$4,58	348,3	u	132,0	m
3498	-	$4,60	346,7	u	131,7	m
3497	-	$4,62	345,1	u	131,4	m
3496	-	$4,65	342,8	u	130,9	m
3495	-	$4,67	341,2	u	130,6	m
3494	-	$4,70	338,8	u	130,2	m
3493	-	$4,72	337,3	u	129,9	m
3492	-	$4,75	335,0	u	129,4	m
3491	-	$4,77	333,4	u	129,1	m
3490	-	$4,79	331,9	u	128,8	m
3489	-	$4,82	329,6	u	128,4	m
3488	-	$4,84	328,1	u	128,1	m
3487	-	$4,87	325,8	u	127,6	m
3486	-	$4,89	324,3	u	127,3	m
3485	-	$4,92	322,1	u	126,9	m
3484	-	$4,94	320,6	u	126,6	m
3483	-	$4,97	318,4	u	126,2	m
3482	-	$4,99	317,0	u	125,9	m
3481	-	$5,01	315,5	u	125,6	m
3480	-	$5,04	313,3	u	125,2	m
3479	-	$5,06	311,9	u	124,9	m
3478	-	$5,09	309,7	u	124,4	m
3477	-	$5,11	308,3	u	124,2	m
3476	-	$5,14	306,2	u	123,7	m
3475	-	$5,16	304,8	u	123,5	m
3474	-	$5,19	302,7	u	123,0	m
3473	-	$5,21	301,3	u	122,7	m
3472	-	$5,23	299,9	u	122,5	m
